,neighbourhood,property_type,room_type,max_capacity(pax),bathrooms,bedrooms,price,cancellation_policy,Distance_from_center(m),Perc_Utilities,Perc_extra
101,Noord-Oost,Bed & Breakfast,Entire home/apt,2,1.0,1.0,80,1,5740.959745067442,0.6666666666666666,0.4285714285714285
102,Noord-Oost,House,Entire home/apt,4,1.0,3.0,150,0,3688.611169804278,0.6666666666666666,0.1428571428571428
103,Noord-Oost,House,Private room,4,1.5,1.0,69,2,4687.734917162843,0.8333333333333334,0.2857142857142857
104,Noord-Oost,House,Entire home/apt,4,1.0,3.0,208,0,5740.959745067442,0.6666666666666666,0.1428571428571428
105,Noord-Oost,House,Entire home/apt,6,2.0,4.0,140,0,4559.877387124428,0.6666666666666666,0.1428571428571428
106,Noord-Oost,Apartment,Private room,2,1.0,1.0,55,2,4964.7565190149735,0.3333333333333333,0.1428571428571428
107,Noord-Oost,House,Entire home/apt,4,1.0,3.0,95,1,4804.888449845095,0.6666666666666666,0.2857142857142857
108,Noord-Oost,House,Entire home/apt,2,1.0,1.0,300,0,4679.632168763979,0.5,0.1428571428571428
109,Noord-Oost,House,Entire home/apt,4,1.0,3.0,111,1,5740.959745067442,0.6666666666666666,0.0
110,Noord-Oost,Apartment,Private room,2,1.0,1.0,65,0,3978.404503754162,0.6666666666666666,0.1428571428571428
111,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,120,0,4797.959904155497,0.6666666666666666,0.2857142857142857
112,Noord-Oost,House,Entire home/apt,6,2.0,3.0,171,1,5740.959745067442,0.8333333333333334,0.1428571428571428
113,Noord-Oost,House,Private room,4,1.5,1.0,69,1,4472.955575382309,0.5,0.2857142857142857
114,Noord-Oost,House,Entire home/apt,5,1.0,4.0,75,0,5740.959745067442,0.6666666666666666,0.2857142857142857
115,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,175,1,4621.976885276712,0.5,0.2857142857142857
116,Noord-Oost,House,Entire home/apt,4,1.0,2.0,120,1,5740.959745067442,0.8333333333333334,0.0
117,Noord-Oost,House,Entire home/apt,6,2.0,4.0,255,2,4581.387719835128,0.5,0.0
118,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,175,2,4471.689798385074,0.8333333333333334,0.4285714285714285
119,Noord-Oost,House,Entire home/apt,4,1.0,3.0,200,1,5024.938295367258,1.0,0.1428571428571428
120,Noord-Oost,House,Private room,2,1.0,1.0,60,1,4946.719724993854,0.8333333333333334,0.2857142857142857
121,Noord-Oost,Apartment,Private room,2,1.0,1.0,69,1,5069.144010665125,0.6666666666666666,0.2857142857142857
122,Noord-Oost,Apartment,Entire home/apt,4,1.0,3.0,149,1,4171.654172251506,0.6666666666666666,0.0
123,Noord-Oost,House,Entire home/apt,4,1.0,3.0,168,0,3732.355768189674,0.6666666666666666,0.2857142857142857
124,Noord-Oost,Bed & Breakfast,Private room,2,1.0,1.0,68,1,4348.329502077415,0.0,0.2857142857142857
125,Noord-Oost,Apartment,Private room,1,1.0,1.0,50,1,3721.579641037932,0.6666666666666666,0.1428571428571428
126,Noord-Oost,House,Entire home/apt,4,1.0,2.0,139,0,4490.84743649558,0.8333333333333334,0.1428571428571428
127,Noord-Oost,Bed & Breakfast,Entire home/apt,2,1.0,1.0,78,2,5740.959745067442,0.6666666666666666,0.5714285714285714
128,Noord-Oost,House,Entire home/apt,6,0.0,1.0,91,2,5740.959745067442,0.1666666666666666,0.2857142857142857
129,Noord-Oost,Apartment,Private room,2,1.5,1.0,60,1,4752.928036633819,0.8333333333333334,0.4285714285714285
